,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",484787,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"It Ain't Me (with Selena Gomez)",Kygo,288710,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,266724,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
4,Paris,"The Chainsmokers",252749,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
5,"Something Just Like This","The Chainsmokers",236907,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
6,"Scared to Be Lonely","Martin Garrix",230923,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
7,"Solo Dance","Martin Jensen",199148,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
8,"Chained To The Rhythm","Katy Perry",186042,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
9,"Loin (feat. Dany Synthé & soFLY & Nius) - Pilule violette","Maître Gims",181334,https://open.spotify.com/track/3up1uPuvL5vkfJ6aOeSRtD
10,"Call On Me - Ryan Riback Extended Remix",Starley,180347,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
11,"All Time Low","Jon Bellion",174467,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
12,Tuesday,"Burak Yeter",172211,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR
13,"Castle on the Hill","Ed Sheeran",169496,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
14,Issues,"Julia Michaels",164427,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
15,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",164386,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
16,"Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)",Vice,163816,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA
17,Believer,"Imagine Dragons",162803,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
18,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",159879,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
19,Weak,AJR,159434,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
20,"You Don't Know Me - Radio Edit","Jax Jones",158875,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
21,"Ohne mein Team","Bonez MC",148356,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
22,"Now and Later","Sage The Gemini",140258,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
23,Skin,"Rag'n'Bone Man",138153,https://open.spotify.com/track/6y2Kaz9QI01XBKJ8mTb7Pf
24,"Shed a Light","Robin Schulz",135490,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
25,Alone,"Alan Walker",130529,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p
26,"Just Hold On","Steve Aoki",128171,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
27,"Way Down We Go",KALEO,127655,https://open.spotify.com/track/0y1QJc3SJVPKJ1OvFmFqe6
28,"All Night","The Vamps",122008,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
29,"No Lie","Sean Paul",120719,https://open.spotify.com/track/3cFsmM51N5zMAuu1nNY4Tw
30,Diamanten,"Kontra K",117350,https://open.spotify.com/track/0RE7AgMKdpcvRkK7EhNoBs
31,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",116655,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
32,"Lot to Learn","Luke Christopher",116174,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW
33,Places,"Martin Solveig",115100,https://open.spotify.com/track/6O85MfGECKBqAK2MgSbCaj
34,"How Far I'll Go - From ""Moana""","Alessia Cara",114968,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
35,"Shooting Stars","Bag Raiders",112727,https://open.spotify.com/track/0UeYCHOETPfai02uskjJ3x
36,"Bad Ideas","Alle Farben",111995,https://open.spotify.com/track/76gwG061wqdatYhicO2hG4
37,"Chantaje (feat. Maluma)",Shakira,111795,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
38,"Hear Me Now",Alok,107561,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
39,Closer,"The Chainsmokers",106439,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
40,"Hey Baby (feat. Deb's Daughter)","Dimitri Vegas & Like Mike",104778,https://open.spotify.com/track/3oUZXcz9WLNO71yHAumFbH
41,"Say You Won't Let Go","James Arthur",102968,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
42,"Stay (with Alessia Cara)",Zedd,101215,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
43,"Sunset Lover","Petit Biscuit",100651,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
44,Starboy,"The Weeknd",100188,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
45,"Never Give Up",Sia,99767,https://open.spotify.com/track/1ssmjAYSU5PbmsjLq5yrNH
46,Cazal,Zuna,99489,https://open.spotify.com/track/0w6O1J8NjXRgD2uWOIBBqT
47,Cold,"Maroon 5",99003,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
48,"iPhone 17 (feat. Moé)","KC Rebell",97270,https://open.spotify.com/track/6rwCkGBh7CV6pcdxZKbcsG
