,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Matrix,"Apache 207",1034028,https://open.spotify.com/track/7ygVaACDENw4PgLbN1awFE
2,"100k Cash","Capital Bra",926175,https://open.spotify.com/track/033if6Adj8fwBYsQzHOfQ8
3,"Blinding Lights","The Weeknd",585038,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
4,"Mios mit Bars",Luciano,525081,https://open.spotify.com/track/7Ek9e3eIuktIFjpDRQfmHE
5,"Rich Rich",Ufo361,510900,https://open.spotify.com/track/3VFT90E0yYjdHSFoGv02us
6,Baby,"Joker Bra",500554,https://open.spotify.com/track/1V7JaMp11LKGwKiVmSetf0
7,"Lass los","Dhurata Dora",485464,https://open.spotify.com/track/0K5vPCPPPQYzrKHc17qB1I
8,"D A YYY T O N A",Dardan,479013,https://open.spotify.com/track/5Bj9rLRVpf5xxQwhlyOOeh
9,Karakol,Capo,477686,https://open.spotify.com/track/0rl7zpqNO7xPbe2CDvyoks
10,Roller,"Apache 207",460222,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
11,"Schüsse im Regen",Samra,437766,https://open.spotify.com/track/3RgJvQlTg7tp5mXtylDXYx
12,Schlafen,Ufo361,409603,https://open.spotify.com/track/7cV5zRs2cXP0H9e29UMI7Z
13,Weiss,Samra,404824,https://open.spotify.com/track/38YP1STiBe3AZevFFJILf4
14,"Breaking Me",Topic,384533,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
15,"Kein Wort",Juju,383567,https://open.spotify.com/track/1hoLUVBx0ixX3kn0EX0P5n
16,"Auf Wiedersehen",Mozzik,370457,https://open.spotify.com/track/6JZrs7FFUkTpinCxM1DG3E
17,"CHING CHING CHING","Farid Bang",352648,https://open.spotify.com/track/32ojM1s5NBAmuSzkJhS8aP
18,"Dance Monkey","Tones and I",350473,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
19,"Roses - Imanbek Remix","SAINt JHN",322605,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
20,"The Box","Roddy Ricch",315915,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
21,"Zu Ende",Samra,276551,https://open.spotify.com/track/0Vl4eICpXMjtiK0RhdaWov
22,Falling,"Trevor Daniel",267573,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
