,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",613205,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Big For Your Boots",Stormzy,432510,https://open.spotify.com/track/3uMB82o0qa7erhiZBW9KQC
3,"Something Just Like This","The Chainsmokers",426518,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
4,"Castle on the Hill","Ed Sheeran",412035,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
5,"You Don't Know Me - Radio Edit","Jax Jones",335813,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
6,Paris,"The Chainsmokers",330895,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
7,"Shape of You - Stormzy Remix","Ed Sheeran",328484,https://open.spotify.com/track/2NHSYwGkAvPHzCinY0KwXo
8,"It Ain't Me (with Selena Gomez)",Kygo,326976,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
9,"Chained To The Rhythm","Katy Perry",312469,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
10,"Scared to Be Lonely","Martin Garrix",278077,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
11,Human,"Rag'n'Bone Man",275539,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
12,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,267823,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
13,"Slide (feat. Frank Ocean & Migos)","Calvin Harris",253356,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
14,Touch,"Little Mix",252416,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
15,"Call On Me - Ryan Riback Extended Remix",Starley,248130,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
16,"September Song","JP Cooper",247077,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
17,"How Would You Feel (Paean)","Ed Sheeran",226142,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN
18,"Be the One","Dua Lipa",222040,https://open.spotify.com/track/7FCfMXYTIiQ9b4hDYs4Iol
19,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",219751,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
20,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",205064,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
21,Cold,Stormzy,194082,https://open.spotify.com/track/5gSed1Fd3tdse60Gc0Uuoe
22,"Cigarettes & Cush (feat. Kehlani & Lily Allen)",Stormzy,187597,https://open.spotify.com/track/7MhomISA7KRK6U7KzeV06v
23,Issues,"Julia Michaels",185845,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
24,"Solo Dance","Martin Jensen",182062,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
25,Cold,"Maroon 5",177128,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
26,"I Feel It Coming","The Weeknd",174501,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
27,"Say You Won't Let Go","James Arthur",173387,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
28,"Mr Skeng",Stormzy,172871,https://open.spotify.com/track/3DrMEiTE3yu3yyc6xBDEDz
29,Skin,"Rag'n'Bone Man",170019,https://open.spotify.com/track/6y2Kaz9QI01XBKJ8mTb7Pf
30,"First Things First",Stormzy,168865,https://open.spotify.com/track/0ix3RUQ76mECOKP6LDPy66
31,"Bad Boys (feat. Ghetts and J Hus)",Stormzy,167398,https://open.spotify.com/track/48jPP29QyeTorwlkflGast
32,"No Lie","Sean Paul",166708,https://open.spotify.com/track/3cFsmM51N5zMAuu1nNY4Tw
33,"I Would Like","Zara Larsson",162193,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
34,Believer,"Imagine Dragons",159455,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
35,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,158655,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
36,Closer,"The Chainsmokers",157064,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
37,"Just Hold On","Steve Aoki",156663,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
38,"Text from Your Ex (feat. Tinashe)","Tinie Tempah",151343,https://open.spotify.com/track/4CRk8QpQ2KNS7N5S2xjEjQ
39,"Ciao Adios",Anne-Marie,149890,https://open.spotify.com/track/3EfugazgSddQvzZpkof5I4
40,"Shut Up",Stormzy,147966,https://open.spotify.com/track/2LPUvD5DDOO4UYGkWgjI2C
41,"All Night","The Vamps",147934,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
42,"Water Under the Bridge",Adele,147825,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
43,Starboy,"The Weeknd",145676,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
44,"Don't Leave",Snakehips,141869,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
45,"Bad Things (with Camila Cabello)","Machine Gun Kelly",139506,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
46,"Now and Later","Sage The Gemini",137696,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
47,"Shed a Light","Robin Schulz",135863,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
48,"Velvet / Jenny Francis - Interlude",Stormzy,129994,https://open.spotify.com/track/4GXMWFus2XoMuPqP5gdgld
49,"One Dance",Drake,129507,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
50,"Return Of The Rucksack",Stormzy,127304,https://open.spotify.com/track/3dMHFZsBzy45jpIHR7l8AJ
51,Love,"Lana Del Rey",109473,https://open.spotify.com/track/0n2bvWvMwr0gbjcuTm92eW
52,Sexual,NEIKED,109205,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop
53,"How Far I'll Go - From ""Moana""","Alessia Cara",108946,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
54,"Fake Love",Drake,108779,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
55,Weak,AJR,103517,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
56,"Blinded By Your Grace, Pt. 2 (feat. MNEK)",Stormzy,101597,https://open.spotify.com/track/0ihguwGVwKihJ1Nj8fGQlY
57,"That's What I Like","Bruno Mars",100923,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
58,"Safe Inside","James Arthur",96248,https://open.spotify.com/track/5ooilrQAnOJbUjq7IDm8lY
59,"By Your Side","Jonas Blue",94017,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
60,"Stay (with Alessia Cara)",Zedd,93343,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
61,"Blinded By Your Grace, Pt. 1",Stormzy,93048,https://open.spotify.com/track/5hzBiEGCC6IUzIImitWJKy
62,"100 Bags",Stormzy,92790,https://open.spotify.com/track/73aLFMrJu7YX7IMaNlo8Ln
63,Samantha,Dave,92681,https://open.spotify.com/track/4YLzVD32aMH4qgSsSPtNbl
64,"You Want Me (feat. Sadie Ama)","Tom Zanetti",89526,https://open.spotify.com/track/4xX7OsX8XTGWJgRxNNIaFT
