,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",535262,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"The Box","Roddy Ricch",457269,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Roses - Imanbek Remix","SAINt JHN",414036,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"No Time To Die","Billie Eilish",374506,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
5,"Don't Start Now","Dua Lipa",352594,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
6,"Stupid Love","Lady Gaga",341869,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
7,"Intentions (feat. Quavo)","Justin Bieber",339550,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
8,"Before You Go","Lewis Capaldi",320763,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
9,"Dance Monkey","Tones and I",318065,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
10,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,307265,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
11,"Say So","Doja Cat",295697,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
12,"Life Is Good (feat. Drake)",Future,281772,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
13,Lonely,"Joel Corry",269179,https://open.spotify.com/track/2ZEq4HT450Ye9IFGPTl9qV
14,"Godzilla (feat. Juice WRLD)",Eminem,267355,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
15,"Adore You","Harry Styles",264179,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
16,"Someone You Loved","Lewis Capaldi",262222,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,"You should be sad",Halsey,243415,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
18,ROXANNE,"Arizona Zervas",228249,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
19,"everything i wanted","Billie Eilish",218412,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
20,"My Oh My (feat. DaBaby)","Camila Cabello",214906,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
21,Physical,"Dua Lipa",214147,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
22,"After Hours","The Weeknd",204964,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
23,Falling,"Trevor Daniel",192943,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
24,"Better Off Without You (feat. Shift K3Y)","Becky Hill",189534,https://open.spotify.com/track/3oIVK7arAFuUOCGafPLxSC
25,"bad guy","Billie Eilish",172342,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
26,Bruises,"Lewis Capaldi",172316,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
27,Circles,"Post Malone",166355,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
28,"Lose Control",MEDUZA,164631,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
29,"Location (feat. Burna Boy)",Dave,162775,https://open.spotify.com/track/3z4CGd63tpUn9a6oQSG0CI
30,"Play Play (feat. Burna Boy)","J Hus",160051,https://open.spotify.com/track/3R60ekRcGXuaoZmnbdlf3n
31,"What A Man Gotta Do","Jonas Brothers",158570,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
32,Falling,"Harry Styles",150972,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
33,Yummy,"Justin Bieber",148732,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
34,"Blueberry Faygo","Lil Mosey",148559,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
35,"To Die For","Sam Smith",145083,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
36,"Moral of the Story",Ashe,143838,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
37,"This Is Real (ft. Ella Henderson)","Jax Jones",137432,https://open.spotify.com/track/1pRShUtGOG6ZP5fsnw9G4h
38,"Vossi Bop",Stormzy,136466,https://open.spotify.com/track/5DXKtoZLm31msT7tNGNHLG
39,"Ladbroke Grove","AJ Tracey",135623,https://open.spotify.com/track/7b4ky1LlQLFhXHmhZkFgqV
40,"Ballin' (with Roddy Ricch)",Mustard,135278,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
41,"death bed (feat. beabadoobee)",Powfu,134537,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
42,"Watermelon Sugar","Harry Styles",134355,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
43,Boyfriend,Mabel,132772,https://open.spotify.com/track/0B2su5lNZe9t3VjOkwtDLV
44,"Don't Rush (feat. Headie One)","Young T & Bugsey",132083,https://open.spotify.com/track/0PXukVbYpvz40KcEFKnIw7
45,"CITY OF ANGELS",24kGoldn,129918,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
46,"Hold Me While You Wait","Lewis Capaldi",129884,https://open.spotify.com/track/60iSKGrGazRzICtMjADNSM
47,"Ei8ht Mile (feat. Aitch)",DigDat,129842,https://open.spotify.com/track/5hI4RRn6wXpEZJUhvkTUNV
48,"Know Your Worth",Khalid,129598,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
49,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",125863,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
50,"Forever (feat. Post Malone & Clever)","Justin Bieber",123722,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
51,"I Don't Care (with Justin Bieber)","Ed Sheeran",122007,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
52,"Heatin Up (feat. Gunna)","Lil Baby",120760,https://open.spotify.com/track/7KSSdFCBHCfq4KPzz78ghk
53,"The Other Side (from Trolls World Tour)",SZA,114481,https://open.spotify.com/track/463PQggkmk5tTw8ug0ahOX
54,"Sunday Best",Surfaces,112110,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
55,"High Fashion (feat. Mustard)","Roddy Ricch",110175,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
56,"when the party's over","Billie Eilish",107814,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
57,"Flowers (feat. Jaykae)","Nathan Dawe",107781,https://open.spotify.com/track/5aYWnrsYvJk8NT7PmUcxVN
58,Memories,"Maroon 5",107038,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
59,"Live Off My Closet (feat. Future)","Lil Baby",105381,https://open.spotify.com/track/6AyWdCtEn1DdxjnxPeojR2
60,"One Night (feat. Raphaella)",MK,104772,https://open.spotify.com/track/4QUA94c3ycZm8dnpPih4sf
61,"Power Over Me","Dermot Kennedy",103874,https://open.spotify.com/track/4tViDtaHuSLnh7HVJTrKhs
62,Woah,"Lil Baby",103484,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
63,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",102224,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
64,"London (feat. Tion Wayne)",M24,101925,https://open.spotify.com/track/0jgO2f0lAPSs36KBAHx9Dl
65,Gangsta,Darkoo,101015,https://open.spotify.com/track/0yoXHeL4gJg0DNheK4xqJB
66,"Ride It",Regard,100373,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
67,"Mr. Brightside","The Killers",99524,https://open.spotify.com/track/7d8GetOsjbxYnlo6Y9e5Kw
68,Rare,"Selena Gomez",98281,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
69,Dior,"Pop Smoke",98160,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
70,"Beautiful People (feat. Khalid)","Ed Sheeran",97434,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
71,"hot girl bummer",blackbear,97171,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
72,"Strike a Pose (feat. Aitch)","Young T & Bugsey",97037,https://open.spotify.com/track/23GvTfcGK454ppLsts3W44
73,"Pump It Up",Endor,96889,https://open.spotify.com/track/0GiwV6v3AgJfdu59tj719Y
74,Shallow,"Lady Gaga",95894,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
75,"Lucid Dreams","Juice WRLD",95744,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
76,Señorita,"Shawn Mendes",94987,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
77,"Commercial (feat. Lil Uzi Vert)","Lil Baby",94554,https://open.spotify.com/track/3tDqEKKUs6gf8zMvSuLyLA
78,"Get Ugly","Lil Baby",93526,https://open.spotify.com/track/20Yz5dzjdTCVjXte9KrJbi
79,"Higher Love",Kygo,93027,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
80,"Professor X",Dave,92956,https://open.spotify.com/track/5wfyoR8XOkw45QRtFOoxyi
81,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",91353,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
82,Suicidal,"YNW Melly",90753,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
83,"Tequila - Jax Jones & Martin Solveig Present Europa","Jax Jones",90414,https://open.spotify.com/track/6fU55C7VdMSSkJ0ZGmX2Kg
84,MICE,Aitch,90272,https://open.spotify.com/track/07SFiPNu6hQ98zLyDZThC1
85,SUGAR,BROCKHAMPTON,89642,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
86,"Bully Beef (feat. Fredo)","Young T & Bugsey",89216,https://open.spotify.com/track/1MM7XFWwDxUIW7sn1toUaa
87,"What If I Told You That I Love You","Ali Gatie",87338,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
88,"Lights Up","Harry Styles",86953,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
89,"HIGHEST IN THE ROOM","Travis Scott",86272,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
90,"Emotionally Scarred","Lil Baby",86097,https://open.spotify.com/track/7ge7BHazYbVKi8qyZUX1Bm
91,"Wake Up Call (feat. Trippie Redd)",KSI,85889,https://open.spotify.com/track/5MYzajZVxBaPT2JUSRa99L
92,"Don't Call Me Up",Mabel,85793,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
93,"lovely (with Khalid)","Billie Eilish",84635,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
94,Sorry,"Joel Corry",84485,https://open.spotify.com/track/6y1UtRcHQU07aUs3oxZ8Yn
95,"3 Nights","Dominic Fike",83665,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
96,"Good as Hell (feat. Ariana Grande)",Lizzo,83058,https://open.spotify.com/track/2rjjNUYONZqC7wSd1i6OFq
97,"Pee Pee","M Huncho",83018,https://open.spotify.com/track/5iwXbChKtH2OB6a1fxmp7R
98,WINE,"B Young",82741,https://open.spotify.com/track/2Jvcvvz3qqNsFEzryvcaCs
99,"Lose You To Love Me","Selena Gomez",82242,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
100,"If The World Was Ending (feat. Julia Michaels)","JP Saxe",81536,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
101,How,"Lil Baby",81297,https://open.spotify.com/track/2b7rt5gCEy2p2zTp656s4U
102,"ocean eyes","Billie Eilish",81284,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
103,"Must Be","J Hus",79346,https://open.spotify.com/track/5vIXEk3u02WHbcD0h2ozhm
104,"Taste (Make It Shake)",Aitch,78515,https://open.spotify.com/track/1xPpYbCaJWonL7IFXPDjON
105,"Thiago Silva",Dave,78476,https://open.spotify.com/track/3DKCTIiJ97bS9TGiqcABjo
106,"Still Disappointed",Stormzy,77946,https://open.spotify.com/track/78XK5PDIKWiDKcgiLl1x0o
107,"Netflix & Chill",Fredo,77677,https://open.spotify.com/track/31m40qBxoj4iMSnQLkq8nP
108,Birthday,Anne-Marie,77192,https://open.spotify.com/track/5hff5RQeE84pznOt8WEWeO
109,"Fresh Home","Unknown T",76917,https://open.spotify.com/track/1ze6yyI0kUWyfsCPOIkd6o
110,BOP,DaBaby,76888,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
111,Grace,"Lewis Capaldi",76301,https://open.spotify.com/track/0pEkK8MqbmGSX7fT8WLMbR
112,"Repeat (feat. Koffee)","J Hus",75889,https://open.spotify.com/track/6Yblv6BbZHIkyrpYl4E0Zk
113,"Piece Of Your Heart",MEDUZA,74949,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
114,"Flex (feat. JB Scofield)",JAY1,74677,https://open.spotify.com/track/0VJu2YKyBXyCFVE6cZaGpS
115,Ransom,"Lil Tecca",74462,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
116,"Buss Down (feat. ZieZie)",Aitch,74412,https://open.spotify.com/track/584UC3Qpm8SbYd7aRWKREu
117,Options,NSG,73602,https://open.spotify.com/track/2cytBOLpwFRX7J9URCrFIe
118,"Désolé (feat. Fatoumata Diawara)",Gorillaz,73571,https://open.spotify.com/track/3lkuOE43SBcQhmK3wgpOfT
119,"No Idea","Don Toliver",73440,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
120,"Keisha & Becky - Remix",RussMB,72777,https://open.spotify.com/track/0rETge1bMavnW9leLCnpwd
121,"So High (feat. Fredo)",MIST,72448,https://open.spotify.com/track/5aubXDnDNVKA5pS7EnR0mp
122,"Destined For Greatness","Tobi & Manny",72183,https://open.spotify.com/track/2NlDF79eSeqe5FwmoVNdnG
123,Shotgun,"George Ezra",71308,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
124,"Same Thing","Lil Baby",71053,https://open.spotify.com/track/2XEsbmynS9dLSzNSuZzfXF
125,"No Judgement","Niall Horan",70439,https://open.spotify.com/track/5IUOU5xkzGHsRFOYNu3GSK
126,"Funky Friday",Dave,69952,https://open.spotify.com/track/01IQ4aQgOf0Kkq3a273hmO
127,F.N,"Lil Tjay",69714,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
128,Heartless,"The Weeknd",69446,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
129,"Feel Me","Selena Gomez",68666,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
130,Crown,Stormzy,68557,https://open.spotify.com/track/4CEGyF5A5u5BjweVvkgCsn
131,"Grace (feat. 42 Dugg)","Lil Baby",67656,https://open.spotify.com/track/01JMnRUs2YOK6DDpdQASGY
132,Outnumbered,"Dermot Kennedy",67202,https://open.spotify.com/track/4Ta3PhWmY50ZLU1uhKFKPE
133,"Audacity (feat. Headie One)",Stormzy,66381,https://open.spotify.com/track/6Oq4fiDzKaFMU89dTvM24u
134,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",66101,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
135,"Sum 2 Prove","Lil Baby",66033,https://open.spotify.com/track/5f4Hy5mw5SRaUgXX9c6P5S
136,"New Dior (feat. D-Block Europe)",DigDat,66012,https://open.spotify.com/track/5YIUAdjnj180Fkqwf0J5X0
137,Tondo,Disclosure,65698,https://open.spotify.com/track/428q2sGN6GUj9F8GXEmGlH
138,"Truth Hurts",Lizzo,65650,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
139,"Sweet but Psycho","Ava Max",65314,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
140,"Smooth Criminal",Poundz,65266,https://open.spotify.com/track/6O4ebrNJ0ofxxm2r5EMj78
141,"Take Me Back to London (feat. Stormzy)","Ed Sheeran",65211,https://open.spotify.com/track/1AI7UPw3fgwAFkvAlZWhE0
142,"Wonderwall - Remastered",Oasis,65146,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
143,React,"The Pussycat Dolls",65133,https://open.spotify.com/track/0GWYApQBwErVPkyXYCTJjI
144,Trust,"Brent Faiyaz",65038,https://open.spotify.com/track/0oufSLnKQDoBFX5mgkDCgR
145,"Rabbit Hole",CamelPhat,64200,https://open.spotify.com/track/6rO7Ljvkmj4ESCIcGEsVdT
146,"Better Half of Me","Tom Walker",64104,https://open.spotify.com/track/4VPlKUSjC9HdZdUbFZ0Y5y
147,"New Jade",Caribou,63880,https://open.spotify.com/track/0B8PEb45EM6Z9hGKOfyGG3
148,"Eastside (with Halsey & Khalid)","benny blanco",63813,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
149,"Indulge (feat. D-Block Europe)","M Huncho",63439,https://open.spotify.com/track/3GXOxIeEmZTkV0F3Zcirl8
150,"Forever (feat. Lil Wayne)","Lil Baby",63301,https://open.spotify.com/track/3EVzllf30zIBAtKb75bs1W
151,"Be Honest","Jorja Smith",63088,https://open.spotify.com/track/3IWs9dAwTqN0EFhOIcBDfs
152,"This City","Sam Fischer",62786,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
153,July,"Noah Cyrus",62776,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
154,"Turn Me On (feat. Vula)",Riton,62710,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
155,Wow.,"Post Malone",62520,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
156,ON,BTS,62497,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
157,"Post Malone (feat. RANI)","Sam Feldt",62427,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
158,Lessons,Stormzy,62411,https://open.spotify.com/track/5iVGN1Th2DqyWVNIBM8Vwk
159,"Shake The Room (feat. Quavo)","Pop Smoke",62374,https://open.spotify.com/track/7rSnKi58HPIVC0FVyh04Q1
160,"Those Kinda Nights (feat. Ed Sheeran)",Eminem,62173,https://open.spotify.com/track/0VSzREd1OjEWJ9tXoFHRQH
161,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",62153,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
162,"Money In The Grave (Drake ft. Rick Ross)",Drake,62111,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
163,"Everywhere - 2017 Remaster","Fleetwood Mac",61851,https://open.spotify.com/track/254bXAqt3zP6P50BdQvEsq
164,"Never Seen the Rain","Tones and I",61765,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
165,"No Guidance (feat. Drake)","Chris Brown",61482,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
166,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","A Boogie Wit da Hoodie",61395,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
167,Robbery,"Juice WRLD",61393,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
168,"Fashion Week (feat. AJ Tracey & MoStack)","Steel Banglez",61034,https://open.spotify.com/track/78KyOmqWmqLkQcXO1cA7MO
169,"Say You Won't Let Go","James Arthur",60894,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
170,"Wiley Flow",Stormzy,60287,https://open.spotify.com/track/5Rbj8akony3l0NNM5TjH1F
171,Streatham,Dave,60169,https://open.spotify.com/track/59PUOc7B0WCNNx8Nr4qaA4
172,"Mya Mills","Lil Pino",59726,https://open.spotify.com/track/41JpkkTQ6ely4JNgC8RZTj
173,"rockstar (feat. 21 Savage)","Post Malone",59546,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
174,Black,Dave,59372,https://open.spotify.com/track/0J43IKwcofdlTQPjcbHxCM
175,"The Less I Know The Better","Tame Impala",59359,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
176,Riptide,"Vance Joy",59310,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
177,"bury a friend","Billie Eilish",59124,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
178,"Kitchen Kings","D-Block Europe",58944,https://open.spotify.com/track/1RJHieKAxYz9qbREvOR5eA
179,"Disaster (feat. J Hus)",Dave,58893,https://open.spotify.com/track/3rqmxZNh2BRgJ3BiCPFTSG
180,"LOYAL (feat. Drake)",PARTYNEXTDOOR,58629,https://open.spotify.com/track/5bvnqVuq7UFl0txSlHpsfS
181,"We Should (feat. Young Thug)","Lil Baby",58582,https://open.spotify.com/track/5ixKkLQSriCQakDWbdW8qD
182,"Dancing in the Moonlight",Toploader,58279,https://open.spotify.com/track/3Fzlg5r1IjhLk2qRw667od
183,Happier,Marshmello,58186,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
184,"Bohemian Rhapsody - 2011 Mix",Queen,58089,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
185,"all the good girls go to hell","Billie Eilish",57830,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
186,"Cyber Sex","Doja Cat",57691,https://open.spotify.com/track/1ghvzmzpx2nnrbx7wtpMgo
187,"Down Like That (feat. Rick Ross, Lil Baby & S-X)",KSI,57534,https://open.spotify.com/track/4etKC4ngPKsQDHUMnYgV3A
188,"7 rings","Ariana Grande",57457,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
189,"Home P*ssy","D-Block Europe",57380,https://open.spotify.com/track/0m0F4N1H65Pvb9FMnISgB2
190,"Don't Look Back in Anger - Remastered",Oasis,57247,https://open.spotify.com/track/0UvCh63URrLFcPkKt99hHd
191,"Old Town Road - Remix","Lil Nas X",57243,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
192,Starboy,"The Weeknd",57204,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
193,"We Got Love",Sigala,57124,https://open.spotify.com/track/35mMXfym6C9VOTUVrcKKZp
194,"Don't Stop Believin'",Journey,57109,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
195,"Goodbyes (Feat. Young Thug)","Post Malone",57030,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
196,"Jocelyn Flores",XXXTENTACION,57017,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
197,Both,"Headie One",56609,https://open.spotify.com/track/0SxjNrhMwarsbcgEy0pavJ
198,"Where We're Going","Gerry Cinnamon",56575,https://open.spotify.com/track/2Funh8wU3oKKk2jkmjLIkD
199,Mistakes,"Jonas Blue",56570,https://open.spotify.com/track/4zCEJUxsW73s2sIIoM4SLC
